Row Labels,molecule,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER, CHEMICAL
2733294,trans-2-Hexenyl acetate,64.936,42.447,0.021277,17.638,12.702,1.0638,1.9149,2.1702,4.2128,8.4043,4.5319,8.9787,3.766,9.2766,5.1915,1.5532,3.1277,3.6383,3.9149,7.7872,15.83
5281167,cis-3-Hexen-1-ol,82.837,53.531,0.91837,5.9592,8.3673,2.6735,1.3265,6.7755,4.898,7.5918,3.4898,2.3061,1.9388,3.2449,1.7551,4.2041,1.7347,1.6531,47.286,11.653,1.8163
5281168,2-hexenal,65.277,32.894,0.51064,10.043,6.8298,1.8511,3.5319,5.1064,3.9574,19.128,4.6596,8.5319,3.7447,18.511,9.8511,3.617,4.9574,1.1915,4.1277,2.7872,20.149
5318599,trans-2-Octen-1-ol,68.292,35.312,3.3542,15.479,2.4375,0.60417,0.39583,6.7917,7.3125,5.75,5.5,10.083,2.75,4.625,3.8333,6.9375,4.8542,5.2083,5.7917,5.0833,25.875
5352539,cis-3-Hexenyl isobutyrate,72.449,47.5625,2.2708,12.0417,9.125,1.6042,0.7708,9.0833,2.6458,3.125,1.9375,3.5,4.3958,2.3542,2.0625,0.7708,2.3125,1,23.6875,9.1458,10.3542
5352837,cis-5-Octen-1-ol,75.688,61.312,1.4167,24.708,21.438,2.1042,0.4375,6.9167,12.312,3.875,1.5208,3.3333,5.5833,1.2708,0.33333,1.125,2.0208,2.0417,9.8125,8.5833,10.479
5355850,trans-Cinnamyl propionate,35.6939,50.359,2.0769,16.2308,8.3077,0.7436,2.4359,3.4615,6.8205,10.5385,0.0256,4.359,4.0256,7.0513,5.5385,3.9487,7.1795,0.3333,4.9231,9.3333,14.2308
5363233,3-Decen-2-one,58.3265,35.1136,0,5,0.3636,1.4318,1.7955,5.5227,9.8182,3.75,14.6591,9.0909,4.8409,9.2045,2.5909,5.4318,0.6136,9.7045,5.3409,1.6818,23.4545
5364231,cis-3-Hexenyl lactate,66.082,54.612,1.7755,8.7755,11.531,1.9388,1.4082,3.4694,5.3878,5,1.8776,2.6122,7.7143,1.7959,0.63265,0.61224,0.55102,3.6122,28.837,9.0408,8.2245
5367698,cis-3-Hexenyl phenylacetate,43.551,41.119,1.6429,3.4524,0.4286,2.5714,2.7143,5.3333,5.381,13.0476,6.7381,5.3333,5.1429,12.0714,7.881,11.0952,3.5952,2.1429,8.0238,6.5714,16.1905
5371102,cis-3-Hexenyl salicylate,50.837,48.581,0.023256,5.3488,0.69767,0.023256,1.1395,3.1628,4.2558,6.0465,6.4186,7.186,3.907,2.9302,0.88372,3.6047,3,3.4651,6.0465,13.814,16.349
6114390,Isoeugenyl phenylacetate,78.898,55.2653,8.0612,33.0816,8.102,0.5102,2.7551,15.0612,4.8776,1.7755,6.3673,5.6939,15.0204,5.4082,1.2449,9.6122,0.7755,6.3469,1.2653,25.6939,11.5918
10857465,Ambrox,51.675,56.435,0.086957,12.761,4.1522,0.021739,1.413,4.2609,9.2391,4.2609,2.2391,4.3261,8.6522,10.848,1.2609,5.0652,0.52174,11.783,5.5652,22.717,18.13
16220109,cis-3-Hexenyl tiglate,39.5306,50.1429,1.1837,13.2449,12.9388,0.4898,1.5306,6.1429,8.0408,10.1224,2.0204,2.449,4.9184,6.7347,2.0816,0.7755,4.0204,5.6122,20.5918,13.9184,7.8571
